code,name,qbo_class_id,qbo_class_name,term,active
osbr_2,OSBR 2,2100000000001770313,Listings:OSBR 2,STR,TRUE
osbr_3,OSBR 3,2100000000001547333,Listings:OSBR 3,STR,TRUE
osbr_4,OSBR 4,2100000000001547334,Listings:OSBR 4,STR,TRUE
osbr_5,OSBR 5,2100000000001547335,Listings:OSBR 5,STR,TRUE
osbr_6,OSBR 6,2100000000001547336,Listings:OSBR 6,STR,TRUE
osbr_7,OSBR 7,2100000000001547337,Listings:OSBR 7,STR,TRUE
osbr_8,OSBR 8,2100000000001547338,Listings:OSBR 8,STR,TRUE
osbr_9,OSBR 9,2100000000001547339,Listings:OSBR 9,STR,TRUE
poulsbo_13976,Poulsbo 13976,2100000000001492157,Listings:Poulsbo 13976,,TRUE
poulsbo_3866,Poulsbo 3866,689693,Listings:Poulsbo 3866,STR,TRUE
poulsbo_3956,Poulsbo 3956,2100000000001492158,Listings:Poulsbo 3956,STR,TRUE
poulsbo_563,Poulsbo 563,2100000000001492175,Listings:Poulsbo 563,STR,TRUE
redmond_11641,Redmond 11641,1000000001,Listings:Redmond 11641,STR,TRUE
redmond_14707,Redmond 14707,658546,Listings:Redmond 14707,STR,TRUE
redmond_15357,Redmond 15357,2100000000001492165,Listings:Redmond 15357,LTR,TRUE
redmond_18641,Redmond 18641,577145,Listings:Redmond 18641,LTR,TRUE
redmond_7579,Redmond 7579,2100000000001492195,Listings:Redmond 7579,STR,TRUE
renton_18823,Renton 18823,1000000036,Listings:Renton 18823,STR,TRUE
sammamish_2009,Sammamish 2009,2100000000001653158,Listings:Sammamish 2009,STR,TRUE
sammamish_5124_1,Sammamish 5124-1,695032,Listings:Sammamish 5124-1,STR,TRUE
sammamish_5124_2,Sammamish 5124-2,1000000003,Listings:Sammamish 5124-2,,TRUE
seatac_12834,Seatac 12834,2100000000001491554,Listings:Seatac 12834,,TRUE
seatac_12834_lower,Seatac 12834 Lower,2100000000001491556,Listings:Seatac 12834 Lower,,TRUE
seatac_12834_upper,Seatac 12834 Upper,2100000000001491557,Listings:Seatac 12834 Upper,,TRUE
seattle_10057_lower,Seattle 10057 Lower,692581,Listings:Seattle 10057 Lower,STR,TRUE
seattle_10057_upper,Seattle 10057 Upper,689690,Listings:Seattle 10057 Upper,STR,TRUE
seattle_10057_whole,Seattle 10057 Whole,692580,Listings:Seattle 10057 Whole,STR,TRUE
seattle_1117,Seattle 1117,2100000000001615459,Listings:Seattle 1117,STR,TRUE
seattle_11331,Seattle 11331,1000000004,Listings:Seattle 11331,STR,TRUE
seattle_115,Seattle 115,2100000000001651204,Listings:Seattle 115,STR,TRUE
seattle_1424c,Seattle 1424C,2100000000001492171,Listings:Seattle 1424C,STR,TRUE
seattle_1430b,Seattle 1430B,2100000000001492170,Listings:Seattle 1430B,,TRUE
seattle_1502,Seattle 1502,2100000000001492168,Listings:Seattle 1502,STR,TRUE
seattle_1623,Seattle 1623,2100000000001492196,Listings:Seattle 1623,STR,TRUE
seattle_206,Seattle 206,687377,Listings:Seattle 206,STR,TRUE
seattle_4201,Seattle 4201,649767,Listings:Seattle 4201,STR,TRUE
seattle_710,Seattle 710,2100000000001492160,Listings:Seattle 710,STR,TRUE
seattle_710_adu,Seattle 710 ADU,2100000000001492162,Listings:Seattle 710 ADU,STR,TRUE
seattle_7434_whole,Seattle 7434,1000000005,Listings:Seattle 7434 Whole,STR,TRUE
seattle_7434_lower,Seattle 7434 Lower,1000000007,Listings:Seattle 7434 Lower,STR,TRUE
seattle_7434_upper,Seattle 7434 Upper,1000000006,Listings:Seattle 7434 Upper,STR,TRUE
seattle_8415,Seattle 8415,2100000000001775452,Listings:Seattle 8415,STR,TRUE
seattle_9021,Seattle 9021,613445,Listings:Seattle 9021,STR,TRUE
seattle_906_lower,Seattle 906 Lower,605774,Listings:Seattle 906 Lower,STR,TRUE
seattle_906_upper,Seattle 906 Upper,696831,Listings:Seattle 906 Upper,LTR,TRUE
seattle_9750,Seattle 9750,2100000000001707454,Listings:Seattle 9750,,TRUE
seattle_9750_monthly,Seattle 9750 Monthly,578356,Listings:Seattle 9750 Monthly,,TRUE
shelton_250,Shelton 250,2100000000001492191,Listings:Shelton 250,STR,TRUE
shelton_310,Shelton 310,2100000000001492192,Listings:Shelton 310,STR,TRUE
shoreline_15510,Shoreline 15510,1000000015,Listings:Shoreline 15510,STR,TRUE
valta_realty,Valta Realty,2100000000001492150,Valta Realty,,TRUE
yacinde_b1,Yacinde B1,1000000023,Listings:Yacinde B1,STR,TRUE
yacinde_b2,Yacinde B2,1000000024,Listings:Yacinde B2,STR,TRUE
yacinde_b3,Yacinde B3,1000000025,Listings:Yacinde B3,STR,TRUE
yacinde_b4,Yacinde B4,1000000026,Listings:Yacinde B4,STR,TRUE
yacinde_b6,Yacinde B6,1000000030,Listings:Yacinde B6,STR,TRUE
yacinde_c1,Yacinde C1,1000000018,Listings:Yacinde C1,STR,TRUE
yacinde_e1,Yacinde E1,1000000031,Listings:Yacinde E1,STR,TRUE
yacinde_e3,Yacinde E3,1000000017,Listings:Yacinde E3,STR,TRUE
yacinde_f1,Yacinde F1,1000000032,Listings:Yacinde F1,STR,TRUE
yacinde_f5,Yacinde F5,1000000033,Listings:Yacinde F5,STR,TRUE
yacinde_holdings,Yacinde Holdings,1000000035,Listings:Yacinde Holdings,STR,TRUE
yacinde_nugrowth,Yacinde NuGrowth,1000000034,Listings:Yacinde NuGrowth,STR,TRUE
